dataset,method,codec,workload,index_MiB,theta_rlz,ns_per_pattern_min,ns_per_pattern_median,ns_per_pattern_max,speedup_vs_Move_r,num_patterns,num_occurrences,occurrence_checksum,RLZSA_occ_percent,correctness
SARS-Cov-2_40,Move-r,raw,m100,3.317,,38848.7,39907.4,40781.1,1.000,500,3503621,78915017368252,,PASS
SARS-Cov-2_40,Move-r,raw,m200,3.317,,21364.5,22140.6,22955.0,1.000,500,1563009,35441315845439,,PASS
SARS-Cov-2_40,Move-r-RLZ,raw,m8,8.457,,37659.6,38588.1,39178.8,3.687,500,13239368,295198668473198,,PASS
SARS-Cov-2_40,Move-r-RLZ,raw,m100,8.457,,12760.1,13240.5,13914.7,3.014,500,3503621,78915017368252,,PASS
SARS-Cov-2_40,Move-r-RLZ,raw,m200,8.457,,9314.2,9547.0,9816.1,2.319,500,1563009,35441315845439,,PASS
SARS-Cov-2_40,Move-r-LZEnd,raw,m8,4.307,,159539.3,160059.8,160609.2,0.889,500,13239368,295198668473198,,PASS
SARS-Cov-2_40,Move-r-LZEnd,raw,m100,4.307,,44169.7,44748.8,46947.5,0.892,500,3503621,78915017368252,,PASS
SARS-Cov-2_40,Move-r-LZEnd,raw,m200,4.307,,23615.2,24260.1,24354.8,0.913,500,1563009,35441315845439,,PASS
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,m8,7.562,0,53562.3,55236.1,56017.4,2.576,500,13239368,295198668473198,92.63,PASS
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,m100,7.562,0,21641.5,22018.9,22086.8,1.812,500,3503621,78915017368252,88.52,PASS
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,m200,7.562,0,16749.9,17300.8,18071.9,1.280,500,1563009,35441315845439,77.80,PASS
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,m8,6.925,0,54279.3,55964.9,56531.5,2.542,500,13239368,295198668473198,92.63,PASS
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,m100,6.925,0,21333.1,22224.3,23270.3,1.796,500,3503621,78915017368252,88.52,PASS
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,m200,6.925,0,16056.5,19093.8,20459.9,1.160,500,1563009,35441315845439,77.80,PASS
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,m8,6.812,32,57707.1,58401.2,58651.1,2.436,500,13239368,295198668473198,91.45,PASS
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,m100,6.812,32,22062.3,22462.4,22551.5,1.777,500,3503621,78915017368252,86.21,PASS
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,m200,6.812,32,16945.3,18032.5,19096.2,1.228,500,1563009,35441315845439,74.22,PASS
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m8,6.450,32,56015.5,57121.8,57205.8,2.491,500,13239368,295198668473198,91.45,PASS
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m100,6.450,32,22369.1,22712.0,23344.3,1.757,500,3503621,78915017368252,86.21,PASS
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m200,6.450,32,16915.2,17425.9,18406.0,1.271,500,1563009,35441315845439,74.22,PASS
world_leaders,Move-r,raw,m8,13.423,,102992226.3,104394251.7,104940287.9,1.000,500,4541614912,125267654984857774,,PASS
world_leaders,Move-r,raw,m100,13.423,,20856.2,22153.4,23589.8,1.000,500,518005,14106063219076,,PASS
world_leaders,Move-r,raw,m200,13.423,,13439.7,13965.6,17382.9,1.000,500,156771,4362594481782,,PASS
world_leaders,Move-r-RLZ,raw,m8,26.209,,11537625.9,11633748.0,11688389.9,8.973,500,4541614912,125267654984857774,,PASS
world_leaders,Move-r-RLZ,raw,m100,26.209,,6506.7,6937.3,7995.0,3.193,500,518005,14106063219076,,PASS
world_leaders,Move-r-RLZ,raw,m200,26.209,,8375.8,8925.6,9492.3,1.565,500,156771,4362594481782,,PASS
world_leaders,Move-r-LZEnd,raw,m8,16.431,,80157491.8,80418251.2,80442405.2,1.298,500,4541614912,125267654984857774,,PASS
world_leaders,Move-r-LZEnd,raw,m100,16.431,,15703.5,16733.8,17399.4,1.324,500,518005,14106063219076,,PASS
world_leaders,Move-r-LZEnd,raw,m200,16.431,,10931.2,12218.7,14626.0,1.143,500,156771,4362594481782,,PASS
world_leaders,Adaptive-Mixed@25%-raw,raw,m8,16.630,1024,53772489.1,54373499.3,55090459.0,1.920,500,4541614912,125267654984857774,56.88,PASS
world_leaders,Adaptive-Mixed@25%-raw,raw,m100,16.630,1024,17208.0,18725.8,19188.1,1.183,500,518005,14106063219076,38.08,PASS
world_leaders,Adaptive-Mixed@25%-raw,raw,m200,16.630,1024,12991.1,14066.8,14724.5,0.993,500,156771,4362594481782,43.43,PASS
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,m8,16.187,1024,53741388.6,54641563.2,55490060.1,1.911,500,4541614912,125267654984857774,56.88,PASS
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,m100,16.187,1024,16998.3,18515.8,19752.6,1.196,500,518005,14106063219076,38.08,PASS
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,m200,16.187,1024,12714.0,13816.9,14186.6,1.011,500,156771,4362594481782,43.43,PASS
world_leaders,Adaptive-Mixed@12.5%-raw,raw,m8,15.965,128,79736412.9,81230942.5,81532342.4,1.285,500,4541614912,125267654984857774,28.44,PASS
world_leaders,Adaptive-Mixed@12.5%-raw,raw,m100,15.965,128,18232.3,18998.4,20040.6,1.166,500,518005,14106063219076,25.60,PASS
world_leaders,Adaptive-Mixed@12.5%-raw,raw,m200,15.965,128,13207.4,15752.4,16293.3,0.887,500,156771,4362594481782,20.65,PASS
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m8,15.749,128,80994269.4,81271854.2,81739142.3,1.285,500,4541614912,125267654984857774,28.44,PASS
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m100,15.749,128,18699.3,19908.7,20922.3,1.113,500,518005,14106063219076,25.60,PASS
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m200,15.749,128,13894.0,15579.6,24139.5,0.896,500,156771,4362594481782,20.65,PASS
DNA,Move-r,raw,m8,28.914,,483179150.8,504328141.3,512830829.2,1.000,500,7275208221,2288580742071522004,,PASS
DNA,Move-r,raw,m100,28.914,,20143268.8,20431689.9,20619620.0,1.000,500,285240442,89726841324429670,,PASS
DNA,Move-r,raw,m200,28.914,,14088034.6,14653446.1,15023767.9,1.000,500,205095382,64507778716151378,,PASS
DNA,Move-r-RLZ,raw,m8,193.123,,28402992.7,28745018.7,28889442.7,17.545,500,7275208221,2288580742071522004,,PASS
DNA,Move-r-RLZ,raw,m100,193.123,,1129067.2,1141556.3,1239775.5,17.898,500,285240442,89726841324429670,,PASS
DNA,Move-r-RLZ,raw,m200,193.123,,813992.5,833125.1,851639.6,17.589,500,205095382,64507778716151378,,PASS
DNA,Move-r-LZEnd,raw,m8,55.399,,142629341.7,147449835.7,147935184.1,3.420,500,7275208221,2288580742071522004,,PASS
DNA,Move-r-LZEnd,raw,m100,55.399,,6685574.1,6844695.8,6995957.1,2.985,500,285240442,89726841324429670,,PASS
DNA,Move-r-LZEnd,raw,m200,55.399,,4731839.5,4742232.2,4887363.1,3.090,500,205095382,64507778716151378,,PASS
DNA,Adaptive-Mixed@25%-raw,raw,m8,94.139,32,196869629.3,198660456.8,201723658.4,2.539,500,7275208221,2288580742071522004,63.15,PASS
DNA,Adaptive-Mixed@25%-raw,raw,m100,94.139,32,15180608.4,15305904.8,15631243.2,1.335,500,285240442,89726841324429670,22.50,PASS
DNA,Adaptive-Mixed@25%-raw,raw,m200,94.139,32,10545965.9,10646149.6,10847659.6,1.376,500,205095382,64507778716151378,25.64,PASS
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,m8,75.902,32,199050241.7,200057818.4,204437331.2,2.521,500,7275208221,2288580742071522004,63.15,PASS
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,m100,75.902,32,15416673.0,15532525.7,16137541.7,1.315,500,285240442,89726841324429670,22.50,PASS
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,m200,75.902,32,10666561.6,10754580.8,11165657.4,1.363,500,205095382,64507778716151378,25.64,PASS
DNA,Adaptive-Mixed@12.5%-raw,raw,m8,69.176,32,360646794.7,377480567.1,382031661.2,1.336,500,7275208221,2288580742071522004,31.06,PASS
DNA,Adaptive-Mixed@12.5%-raw,raw,m100,69.176,32,17181305.8,17430797.0,18245168.5,1.172,500,285240442,89726841324429670,10.39,PASS
DNA,Adaptive-Mixed@12.5%-raw,raw,m200,69.176,32,11729672.6,12221503.8,13087304.4,1.199,500,205095382,64507778716151378,14.04,PASS
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m8,59.917,32,356440301.4,368409258.3,378527680.6,1.369,500,7275208221,2288580742071522004,31.06,PASS
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m100,59.917,32,17358275.8,17485873.5,17680286.6,1.168,500,285240442,89726841324429670,10.39,PASS
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m200,59.917,32,12025216.1,12378800.2,12395153.1,1.184,500,205095382,64507778716151378,14.04,PASS
