dataset,budget,method,codec,workload,ns_per_pattern_median,ns_per_pattern_min,ns_per_pattern_max,speed_relative_to_r_rlzsa,num_occurrences,occurrence_checksum,correctness
SARS-Cov-2_40,12.5,Vr-RLZSA-v1,v1,m200,17641.4,16019.0,17960.0,1.022,1563009,35441315845439,PASS
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,m8,57121.8,56015.5,57205.8,1.022,13239368,295198668473198,PASS
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,m100,22712.0,22369.1,23344.3,0.989,3503621,78915017368252,PASS
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,m200,17425.9,16915.2,18406.0,1.035,1563009,35441315845439,PASS
world_leaders,25,r-RLZSA,raw,m8,54373499.3,53772489.1,55090459.0,1.000,4541614912,125267654984857774,PASS
world_leaders,25,r-RLZSA,raw,m100,18725.8,17208.0,19188.1,1.000,518005,14106063219076,PASS
world_leaders,25,r-RLZSA,raw,m200,14066.8,12991.1,14724.5,1.000,156771,4362594481782,PASS
world_leaders,25,Vr-RLZSA-v1,v1,m8,53718282.2,53586310.7,54812583.5,1.012,4541614912,125267654984857774,PASS
world_leaders,25,Vr-RLZSA-v1,v1,m100,17904.4,17193.6,18372.5,1.046,518005,14106063219076,PASS
world_leaders,25,Vr-RLZSA-v1,v1,m200,13110.3,11526.0,17252.8,1.073,156771,4362594481782,PASS
world_leaders,25,Vr-RLZSA-v2,v2,m8,54641563.2,53741388.6,55490060.1,0.995,4541614912,125267654984857774,PASS
world_leaders,25,Vr-RLZSA-v2,v2,m100,18515.8,16998.3,19752.6,1.011,518005,14106063219076,PASS
world_leaders,25,Vr-RLZSA-v2,v2,m200,13816.9,12714.0,14186.6,1.018,156771,4362594481782,PASS
world_leaders,12.5,r-RLZSA,raw,m8,81230942.5,79736412.9,81532342.4,1.000,4541614912,125267654984857774,PASS
world_leaders,12.5,r-RLZSA,raw,m100,18998.4,18232.3,20040.6,1.000,518005,14106063219076,PASS
world_leaders,12.5,r-RLZSA,raw,m200,15752.4,13207.4,16293.3,1.000,156771,4362594481782,PASS
world_leaders,12.5,Vr-RLZSA-v1,v1,m8,81372740.9,79718439.8,81689347.3,0.998,4541614912,125267654984857774,PASS
world_leaders,12.5,Vr-RLZSA-v1,v1,m100,19224.3,18621.9,19616.6,0.988,518005,14106063219076,PASS
world_leaders,12.5,Vr-RLZSA-v1,v1,m200,13818.2,13357.2,14433.9,1.140,156771,4362594481782,PASS
world_leaders,12.5,Vr-RLZSA-v2,v2,m8,81271854.2,80994269.4,81739142.3,0.999,4541614912,125267654984857774,PASS
world_leaders,12.5,Vr-RLZSA-v2,v2,m100,19908.7,18699.3,20922.3,0.954,518005,14106063219076,PASS
world_leaders,12.5,Vr-RLZSA-v2,v2,m200,15579.6,13894.0,24139.5,1.011,156771,4362594481782,PASS
DNA,25,r-RLZSA,raw,m8,198660456.8,196869629.3,201723658.4,1.000,7275208221,2288580742071522004,PASS
DNA,25,r-RLZSA,raw,m100,15305904.8,15180608.4,15631243.2,1.000,285240442,89726841324429670,PASS
DNA,25,r-RLZSA,raw,m200,10646149.6,10545965.9,10847659.6,1.000,205095382,64507778716151378,PASS
DNA,25,Vr-RLZSA-v1,v1,m8,185809248.2,185149223.7,187011691.0,1.069,7275208221,2288580742071522004,PASS
DNA,25,Vr-RLZSA-v1,v1,m100,14236875.6,14089569.9,14509517.3,1.075,285240442,89726841324429670,PASS
DNA,25,Vr-RLZSA-v1,v1,m200,9904526.9,9843083.1,10040110.2,1.075,205095382,64507778716151378,PASS
DNA,25,Vr-RLZSA-v2,v2,m8,200057818.4,199050241.7,204437331.2,0.993,7275208221,2288580742071522004,PASS
DNA,25,Vr-RLZSA-v2,v2,m100,15532525.7,15416673.0,16137541.7,0.985,285240442,89726841324429670,PASS
DNA,25,Vr-RLZSA-v2,v2,m200,10754580.8,10666561.6,11165657.4,0.990,205095382,64507778716151378,PASS
DNA,12.5,r-RLZSA,raw,m8,377480567.1,360646794.7,382031661.2,1.000,7275208221,2288580742071522004,PASS
DNA,12.5,r-RLZSA,raw,m100,17430797.0,17181305.8,18245168.5,1.000,285240442,89726841324429670,PASS
DNA,12.5,r-RLZSA,raw,m200,12221503.8,11729672.6,13087304.4,1.000,205095382,64507778716151378,PASS
DNA,12.5,Vr-RLZSA-v1,v1,m8,326666433.2,323559111.1,333790169.5,1.156,7275208221,2288580742071522004,PASS
DNA,12.5,Vr-RLZSA-v1,v1,m100,16332748.2,16201075.4,16553079.8,1.067,285240442,89726841324429670,PASS
DNA,12.5,Vr-RLZSA-v1,v1,m200,11236572.5,11140165.1,11740848.7,1.088,205095382,64507778716151378,PASS
DNA,12.5,Vr-RLZSA-v2,v2,m8,368409258.3,356440301.4,378527680.6,1.025,7275208221,2288580742071522004,PASS
DNA,12.5,Vr-RLZSA-v2,v2,m100,17485873.5,17358275.8,17680286.6,0.997,285240442,89726841324429670,PASS
DNA,12.5,Vr-RLZSA-v2,v2,m200,12378800.2,12025216.1,12395153.1,0.987,205095382,64507778716151378,PASS
